Time,Subtitle,Translation,Transliteration,K-Drama Title,Year,Episode,Cue,Cue Type,Speech Level
20s,지금 떠든 놈 일어나,"Whoever made noise, stand up.",jigeum tteodeun nom il-eona,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
25s,없어?,No one? ,eobs-eo ?,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
28s,"어, 감사합니다",-Thank you.,"eo , gamsahabnida",Fight For My Way,2017,1,V + -ㅂ니다,Sentence ending,1
30s,"아휴, 교복 꼬라지 봐라.",Look at your uniforms.,"ahyu , gyobog kkolaji bwala",Fight For My Way,2017,1,V + -라,Sentence ending,6
30s,아줌마들 등산복이야?,Are you old ladies going hiking?,ajummadeul deungsanbog-i-ya ?,Fight For My Way,2017,1,N + -이야/야,Sentence ending,5
34s,응? 세상 모든 색을 다 보여주마!,"Are you trying to display
all the colors of the rainbow?",eung ? sesang modeun saeg-eul da bo-yeojuma !,Fight For My Way,2017,1,N + -이야/야,Sentence ending,6
34s,"뭐, 그런 의도야?","Are you trying to display
all the colors of the rainbow?","mwo , geuleon uido-ya ?",Fight For My Way,2017,1,N + -이야/야,Sentence ending,5
36s,"선생님, 진짜 딱 한 마디밖에 안 했습니다","Sir, I just spoke one word. ","seonsaengnim , jin-jja ttag han madibakk-e an haess-seubnida",Fight For My Way,2017,1,"님, V + -ㅂ니다","Honorific marker, Sentence ending",1
39s,한 번만 봐주시죠,-Please forgive us.,han beonman bwajusijyo,Fight For My Way,2017,1,V + 시 + 죠,"Honorific marker, Sentence ending",1
39s,그래?,-Is that so?,geulae ?,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
42s,"우리 똥만이, 쭈만이 만만이 브라더스","Dong-man and Joo-man, our man brothers.","uli ttongman-i , jjuman-i manman-i beuladeoseu",Fight For My Way,2017,1,nicknames,Addressee term,5
45s,지금 내가 내는 문제를 맞히면 안 맞는 거야?,"-If you get this question, I won't hit.",jigeum naega naeneun munjeleul majhimyeon an majneun geo-ya ?,Fight For My Way,2017,1,N + -이야/야,Sentence ending,5
45s,선생님,-Sir.,seonsaengnim,Fight For My Way,2017,1,Title/addressee + 님,"Addressee term, Honorific marker",1
48s,학생한테 딜을 하지 마시고 화끈하게 한번 봐주십시오,"Don't try to make a deal with students.
Please be generous instead. ",hagsaenghante dil-eul haji masigo hwa-kkeunhage hanbeon bwajusibsi-o,Fight For My Way,2017,1,"V + 시, V + 십시오","Honorific marker, Sentence ending",1
51s,같은 생각입니다,I agree. ,gat-eun saenggag-ibnida,Fight For My Way,2017,1,V + -ㅂ니다,Sentence ending,1
53s,"그래, 맞자, 그냥 나와","Fine then, I'll just hit you.
Come up. ","geulae , maj-ja , geunyang na-wa [ danghwanghan hyogwa-eum ]",Fight For My Way,2017,1,V + -아/어,Sentence ending,5
56s,도전하겠습니다,Challenge accepted! -I'll challenge myself.,"do , dojeon ! dojeonhagess-seubnida",Fight For My Way,2017,1,V + -ㅂ니다,Sentence ending,1
59s,잘 들어,-Listen carefully. ,( namseonsaeng 1 ) jal deul-eo,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
1:00,지금 이 시점에서 니들이 아는 문제가 나올 확률 20%,"There's a 20% chance
you'll know this question. ",jigeum i sijeom-eseo nideul-i aneun munjega na-ol hwaglyul 20 %,Fight For My Way,2017,1,니들,Addressee term,5
1:04,그 문제를 실수로 틀릴 확률이 40%,"You have a 40% chance
of getting it wrong.",geu munjeleul silsulo teullil hwaglyul-i 40 %,Fight For My Way,2017,1,0,Discourse,5
1:06,그럼 너네 다 엉덩이가 무사할 확률이 몇 %?,"What percent is the chance
that your butts stay safe? ",geuleom neone da eongdeong-iga musahal hwaglyul-i myeoch % ?,Fight For My Way,2017,1,너(네),Addressee term,5
1:10,그게 문젭니까?,Is that a question?,geuge munjebni-kka ?,Fight For My Way,2017,1,V + -ㅂ니까,Sentence ending,1
1:11,잘 못 들었지 말입니다,-Could you repeat once more?,jal mos deul-eossji mal-ibnida,Fight For My Way,2017,1,V + -ㅂ니다,Sentence ending,1
1:14,"뭐야, 뭐야?","-Four, three...","mwo-ya , mwo-ya ?",Fight For My Way,2017,1,N + -이야/야,Sentence ending,5
1:16,"5, 50! 50%입니다!",It's 50! The answer is 50 percent!,"5 , 50 ! 50 % ibnida !",Fight For My Way,2017,1,V + -ㅂ니다,Sentence ending,1
1:25,우리 만만이 브라더스 상 줘야지 나와!,"I'll give you two a reward.
Come up. ",uli manman-i beuladeoseu sang jwo-yaji na-wa !,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
1:28,상 받으러 가겠습니다,"Yes, sir. ",sang bad-euleo gagess-seubnida,Fight For My Way,2017,1,V + -ㅂ니다,Sentence ending,1
1:34,밝아,Gosh.,balg-a,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
1:35,도착했습니다!,-We're here.,dochaghaess-seubnida !,Fight For My Way,2017,1,V + -ㅂ니다,Sentence ending,1
1:36,왔어? 잡아,"-Great, turn around. ",( namseonsaeng 1 ) wass-eo ? jab-a,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
1:38,예?,-Sorry?,ye ?,Fight For My Way,2017,1,예,Honorific marker,1
1:38,둘 다 잡아,"-Both of you, turn around. ",dul da jab-a,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
1:43,자신 있게 50을 얘기했으니까 50대만 맞자?,"Since you were so sure it was 50,
I'll hit you 50 times.",jasin issge 50eul yaegihaess-euni-kka 50daeman maj-ja ?,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
1:45,"아, 저는 1%라고 생각했습니다",I thought the answer was one percent. ,"a , jeoneun 1 % lago saenggaghaess-seubnida",Fight For My Way,2017,1,"저는, V + -ㅂ니다","Addresee term, Sentence ending",1
1:47,"1? 어, 일단 잡아",One? Just turn around. ,"1 ? eo , ildan jab-a",Fight For My Way,2017,1,V + -아/어,Sentence ending,5
1:49,누구 아는 사람 없어?,Does anyone know the answer?,nugu aneun salam eobs-eo ?,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
1:51,"어, 무빈이","Yes, Moo-bin.","eo , mubin-i",Fight For My Way,2017,1,Adressee + -이/아/야,"Adressee term, Sentence ending",5
1:57,12%입니다,The answer is 11 percent. ,12 % ibnida,Fight For My Way,2017,1,V + -ㅂ니다,Sentence ending,1
1:58,정답!,Correct!,( namseonsaeng 1 ) jeongdab !,Fight For My Way,2017,1,0,Discourse,5
2:01,"저놈의 새끼, 씨",-That jerk.,"jeonom-ui sae-kki , ssi",Fight For My Way,2017,1,"새끼, 씨",Addressee term,5
2:01,"또 짹짹대네, 저거",-Such a brown-noser.,"tto jjaegjjaegdaene , jeogeo",Fight For My Way,2017,1,V + -아/어,Sentence ending,4
2:06,"선생님, 잠깐만요 아, 선생님, 잠깐만요 뼈 맞았어요, 으악!","Sir, hold please.
That was my bone!","seonsaengnim , jamkkanman-yo a , seonsaengnim , jamkkanman-yo ppyeo maj-ass-eo-yo , eu-ag !",Fight For My Way,2017,1,"V + -아요/어요, N + 요",Sentence ending,2
2:10,"아오, 진짜 뼈 맞았어, 아...","-I really got hit on the bone!
-Shut up!","[ us-eum ] a-o , jin-jja ppyeo maj-ass-eo , a ...",Fight For My Way,2017,1,V + -아/어,Sentence ending,5
2:15,"아, 쌤, 한 번만 봐줘, 맞았어","Please, Ma'am.
That hurts! ","( aela ) a , ssaem , han beonman bwajwo , maj-ass-eo",Fight For My Way,2017,1,V + -아/어,Sentence ending,5
2:20,너 어디 행사 뛰러 다녀? 응?,Are you going around to perform?,neo eodi haengsa ttwileo danyeo ? eung ?,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
2:23,"아니, 얘가요 아나운서 될 거라서요",-Her dream is to become an anchor.,"ani , yaega-yo ana-unseo doel geolaseo-yo",Fight For My Way,2017,1,V + -아요/어요,Sentence ending,2
3:23,너는 머리띠나 내놔,-Give me your headband.,neoneun meoli-ttina naenwa [ hagsaengdeul-ui us-eum ],Fight For My Way,2017,1,V + -아/어,Sentence ending,5
2:28,빨리 내놔,Hurry up. ,( yeoseonsaeng ) ppalli naenwa [ hagsaengdeul-ui us-eum ],Fight For My Way,2017,1,V + -아/어,Sentence ending,5
2:32,한 번만 봐주지,Could you let it go this time?,han beonman bwajuji,Fight For My Way,2017,1,V + -지,Sentence ending,5
2:35,"아, 그게 아니라요","That's not it, Ma'am.","( aela ) a , geuge anila-yo",Fight For My Way,2017,1,V + -아요/어요,Sentence ending,2
2:37,제가 아나운서 되면,When I become an anchor...,jega ana-unseo doemyeon,Fight For My Way,2017,1,제가,Addressee term,2
2:38,테레비는 사랑을 싣고' 같은 데서 쌤 찾을게요,I'll look for a TV show for you.,telebineun salang-eul sidgo ' gat-eun deseo ssaem chaj-eulge-yo,Fight For My Way,2017,1,V + -아요/어요,Sentence ending,2
2:41,애라야,"Ae-ra,",aela-ya [ igsalmaj-eun eum-ag ],Fight For My Way,2017,1,Adressee + -이/아/야,"Addressee term, Honorific marker",5
2:43,아나운서 공부 잘해야 되는 거야,"you have to study really hard
to become an anchor. ",ana-unseo gongbu jalhae-ya doeneun geo-ya,Fight For My Way,2017,1,야,Sentence ending,5
2:49,얘는 공부 잘하는데요?,"Ma'am, she's smart.",yaeneun gongbu jalhaneunde-yo ?,Fight For My Way,2017,1,V + -아요/어요,Sentence ending,2
2:49,저번에 29등도 했는데요,"Last time, she even placed 29th.",jeobeon-e 29deungdo haessneunde-yo,Fight For My Way,2017,1,V + -아요/어요,Sentence ending,2
2:52,"그래서, 35등?","So, Miss 35th place. ","geulaeseo , 35deung ?",Fight For My Way,2017,1,V + -아/어,Sentence ending,5
2:54,너도 애라 따라 아나운서 될 거야?,And you want to be an anchor as well?,neodo aela ttala ana-unseo doel geo-ya ?,Fight For My Way,2017,1,"너, V + -아/어","Addresee term, Sentence ending",5
2:56,아니요 저는 현모양처 될 건데요,"No, I'll be a good wife. ",ani-yo jeoneun hyeonmo-yangcheo doel geonde-yo,Fight For My Way,2017,1,V + -아요/어요,Sentence ending,2
3:00,아무튼 다들 잔말 말고,Enough talking.,amuteun dadeul janmal malgo,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
3:01,오늘 소지품 압수당한 사람들 이따 남아서 강당 청소할 거니까,"Clean the auditorium
if your items were confiscated.",oneul sojipum absudanghan salamdeul i-tta nam-aseo gangdang cheongsohal geoni-kka,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
3:05,오늘 안 되는데요?,"No, not today. ",oneul an doeneunde-yo ?,Fight For My Way,2017,1,V + -아요/어요,Sentence ending,2
3:25,"치워라, 손모가지 나간다","Take your hands off
before I snap your wrist.","chi-wola , sonmogaji naganda",Fight For My Way,2017,1,V + -아라/어라,Sentence ending,6
3:29,"야, 커피 우유 다 나갔다는데?","Hey, they're out of coffee milk. ","ya , keopi u-yu da nagassdaneunde ?",Fight For My Way,2017,1,"야, V + -아/어",Sentence ending,5
3:32,아이씨...,Dammit.,a-i-ssi ...,Fight For My Way,2017,1,아이씨,Honorific word marker,5
3:34,보람아,"Bo-ram, here you go.",bolam-a,Fight For My Way,2017,1,"Adressee + -이/아/야, 내가, V + -아/어",Addressee term,5
3:34,"여기, 내가 미리 사뒀어",I bought it in advance.,"yeogi , naega mili sadwoss-eo",Fight For My Way,2017,1,"Adressee + -이/아/야, 내가, V + -아/어","Addressee term, Sentence ending",5
3:37,너 이런 거 하지 마!,Don't do this anymore. ,neo ileon geo haji ma !,Fight For My Way,2017,1,"너, V + -아/어","Addressee term, Sentence ending",5
3:37,너네 엄마한테 나만 혼나,Your mom will scold me. , neone eommahante naman honna,Fight For My Way,2017,1,"너, V + -아/어","Addressee term, Sentence ending",5
3:41,오늘은 과외 올 거지?,"-You'll come to tutoring today, right?",oneul-eun gwa-oe ol geoji ?,Fight For My Way,2017,1,V + -지,Sentence ending,5
3:42,"못 가, 나 오늘 수업 땡 까고 강남 가야 돼",-I can't. I have to skip school and go to Gangnam.,"mos ga , na oneul su-eob ttaeng kkago gangnam ga-ya dwae",Fight For My Way,2017,1,V + -아/어,"Addressee term, Sentence ending",5
3:45,강남? 강남은 왜?,Gangnam? Why? ,gangnam ? gangnam-eun wae ?,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
3:47,네 알 바 아니잖아,It's none of your business. ,ne al ba anijanh-a,Fight For My Way,2017,1,V + -아/어,"Addressee term, Sentence ending",5
3:59,"아이, 매점 아줌마 큰일 났네","That lady from the convenience store
is in trouble.","a-i , maejeom ajumma keun-il nassne",Fight For My Way,2017,1,V + -아/어,Sentence ending,4
4:03,왜 튀김 만두에서,-This fried dumpling tastes--,wae twigim mandu-eseo,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
4:03,"왜, 또 꼬치 맛이 나냐?",-Like persimmons?,"wae , tto kkochi mas-i nanya ?",Fight For My Way,2017,1,V + 냐,Sentence ending,6
4:05,"장금이야, 장금이, 응? 절대 미각 주둥이냐, 주둥이?","What, you're a chef, now?
Got some kind of absolute taste? It smells like a burger. ","janggeum-i-ya , janggeum-i , eung ? jeoldae migag judung-inya , judung-i ?",Fight For My Way,2017,1,"Adressee + -이/아/야, 응","Addressee term, Sentence ending",6
4:09,햄버거 맛이 나냐고!,It smells like a burger. ,haembeogeo mas-i nanyago !,Fight For My Way,2017,1,V + 냐고,Sentence ending,6
4:12,내가 이래서 전자레인지 따로 써야 한다고 얘기했는데,"I keep on telling her she shouldn't use
the same microwave. ",naega ilaeseo jeonjale-inji ttalo sseo-ya handago yaegihaessneunde,Fight For My Way,2017,1,"내가, V + -는데","Addressee term, Sentence ending",5
4:18,"뭐야, 이거?",What's that?,"mwo-ya , igeo ?",Fight For My Way,2017,1,"N + -야, V + 아/어",Sentence ending,5
