text,label
너 그 다리 놀릴 거야?,3
전화해 보겠습니다,0
왜 이래요?,1
죄송해요 그런데 최 과장님,1
"야, 일어나지 마 보험 불러",3
죄송합니다,0
"아, 오셨어요?",1
단체 생활을 되게 좋아하시네요?,1
떨어졌어,3
빨리 내놔,3
 친절한 상담원이 됐다,4
걔 왜 네가 대준 고시원 보증금 안 갚아?,3
"야, 그 아줌마 뭔 운동했댔냐?",4
배상을 말하는 거요?,1
맛있는 식사 되십시오,0
"장그래, 가자",3
상대 회사의 위기를 고민하고 있다,4
나를 데리러 온 것이냐?,4
이쪽은 연수 씨고 여기 주인이야,3
그래서요?,1
같은 생각입니다,0
너 이빨이나 흔들어봐 괜찮은가,2
시간이 좀 걸릴 거 같습니다,0
"아저씨, 여기 카드 되죠?",1
"야, 오 과장 너 입 뒀다 뭐 해, 말해 봐",3
보통 박 대리님 같은 사람들은 문제가 생기면 회피하거든요,1
내가 쏠게,3
선적 일자 관련 자료도 꼭 갖고 오셔야 됩니다,0
장난하냐?,4
장보람,3
"죽이지, 미치지, 끝장나지!",3
"친구니까 네 말만 들으면 틀림없다고 네가 그랬어, 안 그랬어?",3
재미있는 게 많아,3
자세한 상황은 담당인 박 대리가 설명하겠습니다,0
"아, 네, 출동할깝쇼?",0
나 진짜 시집이나 갈까?,3
가뜩이나 정규직 애들이 우리 무시하는데,3
"네, 그러세요",1
내일이 없다고 생각해?,3
그전에 개인정보 몇 가지만 부탁드릴게요,1
아무튼 다들 잔말 말고,3
"하나, 둘, 친하게",2
"어, 감사합니다",0
예진 씨,1
"네, 가요",1
깜짝이야!,3
그래도 같은 반 교우가 전국체전 나가는데,3
"그래서, 35등?",3
이 쥐새끼 귀 떨어진 머리끈 내 건데?,3
궐 세트랑 똑같네,2
약혼연대 안 할 거야?,3
상사를 가서 그러고 있냐,4
전방에 안개입니다,0
내 것도 부탁해요,1
뭐 타고 가게? 작년에 중고로 산 그 고물 타고 갈 거야?,3
"미안해요, 잘 들어가요",1
지금 니네한테 파스 냄새 엄청나,3
"어? 왔다, 왔어요",1
이제 우리 점심은 뭐 먹을까요?,1
뭔가 하고 싶다면 일단 너만 생각해,3
한번 보자는데요?,1
"이거 딱 10만 개쯤 딱 넣어 볼까요, 이거?",1
저번에 29등도 했는데요,1
"장금이야, 장금이, 응? 절대 미각 주둥이냐, 주둥이?",4
"아뇨, 아뇨, 괜찮습니다",0
넉넉잡아서 1시간 정도 후에 도착할 수 있을 거 같습니다,0
"이야, 이 자식 이거 진짜 하나도 안 변했네",2
이거 복사해서 저기 회의실로 가는 거죠?,1
"과장님, 그 넥타이 애들이 돈 모아서 산 생일 선물이라면서요",1
둘 다 을이네,2
너네 엄마한테 나만 혼나,3
"아, 진짜 가지가지 한다",4
아직 시장성이 없다고 판단했거든,3
그게 뭐야?,3
일곱 번이나 되니까요,1
그래도 이렇게 한 번씩 들러 줘야 서로 긴장감도 쌓이고 좋아요,1
나한테 좋은 방법이 있어 따라와,3
응? 세상 모든 색을 다 보여주마!,4
너 가 너 고기 안 사줘!,3
"야, 난 시간 맞춰 왔어 네가 데스크에 없었지",3
보람아,3
이게 무슨 단백질이야 순 싸구려 지방이지,3
"찬숙이라고 해요, 동만 씨",1
안 물어봤다,4
네? 안녕하세요,1
"뭐야, 쟤?",3
어디서 뭐 하는 거예요,1
"자, 만나서 반갑습니다, 들이대",0
원인터 영업 3팀 장그래입니다,0
너 발차기 하고 싶어 미치겠지 않아?,3
그게 방송에 이렇게 딱 잡힌 거예요!,1
있는데요,1
이렇게 퍼주면 뭐 남는다고,3
지연되는 물건은 언제 해결되는 거예요?,1
거래처와의 관계에서도 인심 잃지 않고 일하는 모범이시라고요,1
발로 차!,3
하세요!,1
너 지금 장난하냐?,4
어?,3
"선생님, 잠깐만요 아, 선생님, 잠깐만요 뼈 맞았어요, 으악!",1
"아이, 아까 통화했잖아",3
"예, 가겠습니다",0
"야, 이 자식아 그래서 내가 직접 타 주잖아",3
3자냐?,4
잘 부탁해,3
"안 들려, 안 들려",3
얘네 신생이라 관리 잘해야 돼,3
"서울 사람 같을 거 아냐, 응?",4
일이나 해!,3
불편을 드려 정말 죄송합니다,0
같이 있었어?,3
올해 4년 차입니다,0
"면목이 없구먼, 박 대리",2
진짜?,3
주지 말아 주십시오,0
"어이구, 열녀 났네 열녀 났어!",4
"아, 언제 오냐고요?",1
떨리는구만,2
"야, 자리 바꿔",3
거기서 얘가 딱 우승 먹고 세레모니로 도복 한번 쫙 벗어주면 뭔가 폼 나잖아,3
"고 과장님이라도 좀 쪼지 마세요, 좀",1
그 아줌마 팔뚝이 열무 담가서 수억 버는 팔뚝이란다,4
도착했습니다!,0
"야, 친구야, 우리 오래간만인데 한잔해야 되는 거 아니냐?",4
"장그래 씨, 잠깐 봐요",1
저희 지금 여기 회의 있거든요,1
"아저씨, 안녕하세요?",1
주세요. 내가 힘들 거라고 말했죠,1
"근데, 네가 안 사귄다고?",3
"습, 발모가지가 나간 거 같다고 해볼까?",3
