,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Speech Level,Model,Token,SHAP Value,Cue Type
0,0,0,0,0,6,kobert,색,0.0953543632058426,Other
1,1,1,1,1,6,kobert,▁내가,0.0965428466151934,Address term
2,2,2,2,2,6,kobert,에는,0.0971803441643714,Other
3,3,3,3,3,6,kobert,쿵,0.0972737986594438,Other
4,4,4,4,4,6,kobert,햄,0.0975734032690525,Other
5,5,5,5,5,6,kobert,▁식품,0.0976331830024719,Other
6,6,6,6,6,6,kobert,꼼,0.0982344415970146,Other
7,7,7,7,7,6,kobert,▁아무,0.1000314438715577,Other
8,8,8,8,8,6,kobert,버,0.1023514494299888,Other
9,9,9,9,9,6,kobert,▁누구,0.1035417877137661,Other
10,10,10,10,10,6,kobert,찬,0.1108190789818763,Other
11,11,11,11,11,6,kobert,▁차,0.1118520721793174,Other
12,12,12,12,12,6,kobert,이란,0.1126025393168674,Other
13,13,13,13,13,6,kobert,▁내리,0.1137444768100977,Other
14,14,14,14,14,6,kobert,▁마음,0.1148859644308686,Other
15,15,15,15,15,6,kobert,▁내,0.1154771000146865,Other
16,16,16,16,16,6,kobert,▁때문이다,0.1172543670982122,Sentence ending
17,17,17,17,17,6,kobert,족,0.1201293934136629,Other
18,18,18,18,18,6,kobert,시켜,0.122474412433803,Other
19,19,19,19,19,6,kobert,이었다,0.1229037220861452,Sentence ending
20,20,20,20,20,6,kobert,▁같다,0.1242469944991171,Sentence ending
21,21,21,21,21,6,kobert,협,0.1268720179796219,Other
22,22,22,22,22,6,kobert,▁병,0.130711153615266,Other
23,23,23,23,23,6,kobert,박,0.1318881744518876,Other
24,24,24,24,24,6,kobert,입,0.1423275042325258,Other
25,25,25,25,25,6,kobert,▁것이다,0.1445486834272742,Sentence ending
26,26,26,26,26,6,kobert,▁물어,0.1474026842042803,Sentence ending
27,27,27,27,27,6,kobert,라,0.1484727467340074,Sentence ending
28,28,28,28,28,6,kobert,▁보여주,0.1539064199023414,Other
29,29,29,29,29,6,kobert,▁부모,0.1569673549383878,Addressee term
30,30,30,30,30,6,kobert,했다,0.1570276420679874,Sentence ending
31,31,31,31,31,6,kobert,▁출근,0.1574070155620575,Other
32,32,32,32,32,6,kobert,▁먼저,0.158566303551197,Other
33,33,33,33,33,6,kobert,▁선생님,0.1692037628963589,Honorific marker
34,34,34,34,34,6,kobert,▁아니다,0.1759122794028371,Sentence ending
35,35,35,35,35,6,kobert,았다,0.1902064608875662,Sentence ending
36,36,36,36,36,6,kobert,한다,0.1909538016188889,Sentence ending
37,37,37,37,37,6,kobert,▁아니냐,0.2079945906880311,Sentence ending
38,38,38,38,38,6,kobert,봤다,0.2183137508109212,Sentence ending
39,39,39,39,39,6,kobert,냐,0.2259923325865782,Sentence ending
40,40,40,40,40,6,kobert,▁한다,0.2428649185458198,Sentence ending
41,41,41,41,41,6,kobert,▁됐다,0.2483879280043766,Sentence ending
42,42,42,42,42,6,kobert,이다,0.2530592407929362,Sentence ending
43,43,43,43,43,6,kobert,▁좋다,0.2643308013211936,Sentence ending
44,44,44,44,44,6,kobert,▁보다,0.2768959652166813,Sentence ending
45,45,45,45,45,6,kobert,린다,0.2938411198168372,Sentence ending
46,46,46,46,46,6,kobert,▁했다,0.3161874432116747,Sentence ending
47,47,47,47,47,6,kobert,났다,0.4192607933655381,Sentence ending
48,48,48,48,48,6,kobert,▁아니었다,0.4396956090349704,Sentence ending
49,49,49,49,49,6,kobert,▁싶다,0.4999607969075441,Sentence ending
50,50,50,50,50,6,multi,기분 ,0.0713322101000812,Other
51,51,51,51,51,6,multi,싶,0.0713987107660614,Other
52,52,52,52,52,6,multi,뭘 ,0.0717880055171917,Other
53,53,53,53,53,6,multi,내고 ,0.0731041398003071,Other
54,54,54,54,54,6,multi,보다 ,0.0744762131826064,Sentence ending
55,55,55,55,55,6,multi,손,0.0758259825474851,Other
56,56,56,56,56,6,multi,사,0.0763660338088811,Other
57,57,57,57,57,6,multi,이제 ,-0.0776784217182466,Other
58,58,58,58,58,6,multi,부,0.0792576216763336,Other
59,59,59,59,59,6,multi,것이 ,0.0841584625247075,Other
60,60,60,60,60,6,multi,가,0.0896905822393989,Other
61,61,61,61,61,6,multi,줘,0.110765154258388,Other
62,62,62,62,62,6,multi,위한 ,0.1273911553489597,Other
63,63,63,63,63,6,multi,노,0.1288153807854541,Other
64,64,64,64,64,6,multi,다 ,0.1330230405964982,Sentence ending
65,65,65,65,65,6,multi,춰,0.1346657222095473,Other
66,66,66,66,66,6,multi,쳐,0.1403149670886705,Other
67,67,67,67,67,6,multi,워,0.15343846899259,Other
68,68,68,68,68,6,multi,마,0.1683916933725413,Other
69,69,69,69,69,6,multi,거,0.1934482053227384,Other
70,70,70,70,70,6,multi,마음이 ,0.2069569082223097,Other
