,Unnamed: 0,Speech Level,Model,Token,SHAP Value,Cue Type
0,0,6,kobert,났,0.0667143105116944,Other
1,1,6,kobert,▁복귀,0.0669298730790615,Other
2,2,6,kobert,▁명,0.0676533388905227,Other
3,3,6,kobert,▁보,0.0684171250322833,Other
4,4,6,kobert,얼,0.0687347529456019,Other
5,5,6,kobert,힐,0.0690047262469306,Other
6,6,6,kobert,싶,0.0691670044325292,Other
7,7,6,kobert,▁일을,0.0699537117034196,Other
8,8,6,kobert,▁기,0.0702115991734899,Other
9,9,6,kobert,씨,0.0710905836895108,Other
10,10,6,kobert,춰,0.0712571786352782,Other
11,11,6,kobert,▁얼굴,0.0716400342062115,Other
12,12,6,kobert,▁편,0.071773063391447,Other
13,13,6,kobert,워,0.0720250066369772,Other
14,14,6,kobert,며,0.0732472976669669,Other
15,15,6,kobert,▁일,0.074538082582876,Other
16,16,6,kobert,▁3,0.0745934974402189,Other
17,17,6,kobert,▁걷,0.0753032825887203,Other
18,18,6,kobert,▁연,0.0758067313581705,Other
19,19,6,kobert,▁잠,0.0764183867722749,Other
20,20,6,kobert,홈쇼핑,0.0769605115056037,Other
21,21,6,kobert,▁길,0.0773447430692613,Other
22,22,6,kobert,자,0.0773829647708529,Other
23,23,6,kobert,다,0.0784587766975164,Sentence ending
24,24,6,kobert,복,0.0792764350771904,Other
25,25,6,kobert,▁모든,0.079807517118752,Other
26,26,6,kobert,▁교,0.0799464061856269,Other
27,27,6,kobert,호,0.0806758161634206,Other
28,28,6,kobert,▁그리고,0.0807308424264192,Other
29,29,6,kobert,싸움,0.0814166548661887,Other
30,30,6,kobert,들을,0.0814517671242356,Other
31,31,6,kobert,와,0.0816055089235305,Sentence ending
32,32,6,kobert,▁오,0.0828565713018179,Other
33,33,6,kobert,▁갖,0.084354774095118,Other
34,34,6,kobert,▁것,0.084563901182264,Other
35,35,6,kobert,물을,0.0848991610109806,Other
36,36,6,kobert,털,0.0850847326219081,Other
37,37,6,kobert,▁커피,0.085426521487534,Other
38,38,6,kobert,▁함,0.0855528526008129,Other
39,39,6,kobert,꼬,0.0879137576557695,Other
40,40,6,kobert,▁장난,0.0882623773068189,Other
41,41,6,kobert,어야,-0.0892948692198842,Other
42,42,6,kobert,▁좋,0.0894041550345718,Other
43,43,6,kobert,▁묘,0.0912820445373654,Other
44,44,6,kobert,절,0.0913972556591034,Other
45,45,6,kobert,▁많이,0.0919223092496395,Other
46,46,6,kobert,▁어떤,0.0925616389140486,Other
47,47,6,kobert,▁쪽,0.0932597070932388,Other
48,48,6,kobert,▁숙,0.0935670807957649,Other
49,49,6,kobert,▁치,0.0946153327822685,Other
50,50,6,kobert,색,0.0953543632058426,Other
51,51,6,kobert,▁내가,0.0965428466151934,Addressee term
52,52,6,kobert,에는,0.0971803441643714,Other
53,53,6,kobert,쿵,0.0972737986594438,Other
54,54,6,kobert,햄,0.0975734032690525,Other
55,55,6,kobert,▁식품,0.0976331830024719,Other
56,56,6,kobert,꼼,0.0982344415970146,Other
57,57,6,kobert,▁아무,0.1000314438715577,Other
58,58,6,kobert,버,0.1023514494299888,Other
59,59,6,kobert,▁누구,0.1035417877137661,Other
60,60,6,kobert,찬,0.1108190789818763,Other
61,61,6,kobert,▁차,0.1118520721793174,Other
62,62,6,kobert,이란,0.1126025393168674,Other
63,63,6,kobert,▁내리,0.1137444768100977,Other
64,64,6,kobert,▁마음,0.1148859644308686,Other
65,65,6,kobert,▁내,0.1154771000146865,Other
66,66,6,kobert,▁때문이다,0.1172543670982122,Sentence ending
67,67,6,kobert,족,0.1201293934136629,Other
68,68,6,kobert,시켜,0.122474412433803,Other
69,69,6,kobert,이었다,0.1229037220861452,Sentence ending
70,70,6,kobert,▁같다,0.1242469944991171,Sentence ending
71,71,6,kobert,협,0.1268720179796219,Other
72,72,6,kobert,▁병,0.130711153615266,Other
73,73,6,kobert,박,0.1318881744518876,Other
74,74,6,kobert,입,0.1423275042325258,Other
75,75,6,kobert,▁것이다,0.1445486834272742,Sentence ending
76,76,6,kobert,▁물어,0.1474026842042803,Sentence ending
77,77,6,kobert,라,0.1484727467340074,Sentence ending
78,78,6,kobert,▁보여주,0.1539064199023414,Other
79,79,6,kobert,▁부모,0.1569673549383878,Addressee term
80,80,6,kobert,했다,0.1570276420679874,Sentence ending
81,81,6,kobert,▁출근,0.1574070155620575,Other
82,82,6,kobert,▁먼저,0.158566303551197,Other
83,83,6,kobert,▁선생님,0.1692037628963589,Honorific marker
84,84,6,kobert,▁아니다,0.1759122794028371,Sentence ending
85,85,6,kobert,았다,0.1902064608875662,Sentence ending
86,86,6,kobert,한다,0.1909538016188889,Sentence ending
87,87,6,kobert,▁아니냐,0.2079945906880311,Sentence ending
88,88,6,kobert,봤다,0.2183137508109212,Sentence ending
89,89,6,kobert,냐,0.2259923325865782,Sentence ending
90,90,6,kobert,▁한다,0.2428649185458198,Sentence ending
91,91,6,kobert,▁됐다,0.2483879280043766,Sentence ending
92,92,6,kobert,이다,0.2530592407929362,Sentence ending
93,93,6,kobert,▁좋다,0.2643308013211936,Sentence ending
94,94,6,kobert,▁보다,0.2768959652166813,Sentence ending
95,95,6,kobert,린다,0.2938411198168372,Sentence ending
96,96,6,kobert,▁했다,0.3161874432116747,Sentence ending
97,97,6,kobert,났다,0.4192607933655381,Sentence ending
98,98,6,kobert,▁아니었다,0.4396956090349704,Sentence ending
99,99,6,kobert,▁싶다,0.4999607969075441,Sentence ending
100,100,6,multi,인 ,0.029947799369097,Other
101,101,6,multi,언제나 ,0.029983024718831,Other
102,102,6,multi,가지 ,0.0299856969247684,Other
103,103,6,multi,죽,0.030199466046838,Other
104,104,6,multi,날 ,0.0305842130269411,Other
105,105,6,multi,어,0.030674064927247,Other
106,106,6,multi,하지 ,0.0307932164271278,Other
107,107,6,multi,여,0.0309691080476568,Other
108,108,6,multi,깎,0.0318202753147716,Other
109,109,6,multi,구,0.0322243583892714,Other
110,110,6,multi,멈,0.0335524725188634,Other
111,111,6,multi,주의 ,0.0335819500917295,Other
112,112,6,multi,명,0.034338845434604,Other
113,113,6,multi,잊,0.0349790193855218,Other
114,114,6,multi,버,0.0350531509660072,Other
115,115,6,multi,하다 ,0.0355677372324407,Sentence ending
116,116,6,multi,치,0.0378604093086778,Other
117,117,6,multi,들,0.0381085927638196,Other
118,118,6,multi,라도 ,0.0386178732171629,Other
119,119,6,multi,가게 ,0.039389647884036,Other
120,120,6,multi,시,0.0408178621137267,Other
121,121,6,multi,모,0.0411450013211833,Other
122,122,6,multi,뚝,-0.0420474875501213,Other
123,123,6,multi,녀 ,0.0434996858912768,Other
124,124,6,multi,본 ,0.0452625633233765,Other
125,125,6,multi,아니,0.0457208524038321,Other
126,126,6,multi,되,0.0459774141671687,Other
127,127,6,multi,기,0.0473251374858705,Other
128,128,6,multi,쏘,0.0473775803492344,Other
129,129,6,multi,틀,0.0497044376812709,Other
130,130,6,multi,봐,0.0502101713215746,Sentence ending
131,131,6,multi,느낌이 ,-0.0512750286061418,Other
132,132,6,multi,같,0.051484209554701,Other
133,133,6,multi,밀,0.0516399655207351,Other
134,134,6,multi,겠,0.0535611223155001,Other
135,135,6,multi,참,0.0547463660586799,Other
136,136,6,multi,무,0.0558924632011894,Other
137,137,6,multi,일,0.0585043095685477,Other
138,138,6,multi,주,0.0591660753605803,Other
139,139,6,multi,꽤,0.0592499075619343,Other
140,140,6,multi,댔,0.059544608285023,Other
141,141,6,multi,모르,0.0596801017861707,Other
142,142,6,multi,됐,0.0600457222037675,Other
143,143,6,multi,좋았,0.0601199648026522,Other
144,144,6,multi,될 ,0.0620260929342748,Other
145,145,6,multi,것 ,0.0626351719547528,Other
146,146,6,multi,것은 ,0.0629943510539305,Other
147,147,6,multi,꼼,0.0687465394212267,Other
148,148,6,multi,증,0.0692231103971607,Other
149,149,6,multi,라 ,0.0709013874252377,Sentence ending
150,150,6,multi,기분 ,0.0713322101000812,Other
151,151,6,multi,싶,0.0713987107660614,Other
152,152,6,multi,뭘 ,0.0717880055171917,Other
153,153,6,multi,내고 ,0.0731041398003071,Other
154,154,6,multi,보다 ,0.0744762131826064,Sentence ending
